METH	UNIT	M_DESCR
458	State	Resistance to B. lactucae race 26/81(0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
460	State	Resistance to B. lactucae race 1/82 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
462	State	Resistance to B. lactucae race 3/82 (0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
465	State	Resistance to B. lactucae race 12/81(0=complete resistant. 3=incompl.res.. 6=incomplete susceptible. 9=susceptible)
467	State	(0=absent, 1=very weak, 3=weak, 5=medium, 7=strong, 9=very strong)
470	State	(A=yellow, B=red, C=brown, D=orange, E=purple, F=greyish, G=green)
472	State	(1=none, 3=slight, 5=medium, 7=medium to severe, 9=severe)
474	State	(0=no resistance (Cf) gene, 1=Cf1, 2=Cf2, ..., 2+4=Cf2 and Cf4)
476	State	At harvest maturity (A=purple, B=green, C=white, 1=very light purple, ..., 9=very dark purple)
480	State	(1=fairly high level of resistance, 2=medium to low level of resistance)
482	Num	Number of 9 inoculated plants without symptoms
484	State	(3,4,5 = 3,2,1 weeks before Bruinsma Wonder (=6), 7,8,9 = 1,3,5 weeks after Bruinsma Wonder)
486	Stand	determined at natural infection (0=no symptoms, +=symptoms present)
487	State	Symbol assigned to TMV resistance at locus L. (L+=no resistance gene, L1 resistance gene L1, ....)
490	Stand	Determined at natural infection (0=no symptoms, +=symptoms present)
495	Stand	(1=mosaic, 2=segregation in mosaic and in necrotic hypersensitive reactions)
497	Stand	Sonatine=3 (1=very light, 3=light, 5=medium, 7=good, 9=very good)
499	Stand	(1=very drooping, 3=drooping, 5=horizontal, 7=semi erect, 9=erect)
502	State	Sonatine=5 (1=very flat, ..., 9=very long)
503	State	(1=very round, 3=round, 5=angular, 7=irregular, 9=very irregular)
505	State	(A=red, B=orange, C=pink, D=yellow, E=yellowgreen, F=red with yellow spots, G=light green, H=brown, I=white, P=purple)
509	Stand	(0=no flowers set, 5=50% of flowers set, 9=all flowers set)
513	mm	Measurement, 9=9mm or more.
514	State	(2,3,4,5=4,3,2,1 weeks before Sonatine, 6=Sonatine, 7,8,9=1,2,3 weeks after Sonatine)
517	Stand	Bruinsma Wonder=7 (1=very light, 3=light, 5=medium, 7=dark, 9=very dark)
518	Stand	Bruinsma Wonder=7 (1=very drooping, 3=drooping, 5=horizontal, 7=semi-erect, 9=erect)
521	State	(A=white, B=filthy-white, C=light green, D=light purple, E=dark purple, F=yellow, G=white/anthocyanin)
535	Stand	Bruinsma Wonder=3 (0=absent, 1=very little, 3=little, 5=medium, 7=much, 9=very much)
539	Num	(1,2,3,4=4,3,2,1 weeks before Claresse(=5) 6,7,8,9=1,2,3 or 4 weeks after)
542	State	(A=plain, B=striped, C=marbled, D=two coloured)
543	State	(A=yellow, B=red, C=brown, D=orange, E=purple, F=greyish, G=green, a-b=both colors appear in one fruit)
546	State	(+=present, 0=absent, 1-9=intensity of green edge: 1=very light, 9=very dark)
549	Stand	Mean attack with pathotype EDC 17/31/31. (1= no or small galls at hairy roots, ..., 9 =large galls at taproot)
552	Stand	Score plant above soil level.
553	Stand	Score total plant, including the part under the soil.
556	State	(3=flat, 5=medium, 7=concave)
557	Ratio	(1=completely erect, ..., 9=completely reflexed)
559	State	(1=homogeneous, 2=variable, 3=highly variable)
560	State	(1=white, 2=yellow, 3=light brown, 4=brown, 5=dark brown, 6=red, 7=green, 8= 2+3, 9=light violet, 10= violet, 11=mixed)
563	State	Flower wing just before opening (1= white, 2= yellow, 3= orange, 4= pink, 5= red, 6=green, 7= blue, 8= violet, 9= brown)
566	State	(1= white, 2= light blue, 3= blue, 4= pink, 5= red violet, 6= violet, 9= mixed)
568	State	(1= yellow, 3= light brown, 5= brown, 7= dark brown, 9= olive green)
570	Stand	(3=low, 5=medium, 7=high)
571	State	Moment of full maturity straw (1= very early, ..., 9= very late)
573	Stand	Standards: Ariane= 1, Regina= 7 (1=without, 3=weak, 5=medium, 7=strong, 9=very strong)
576	Perc	Percentage in straw, using a greenscutching method.
578	State	Resistance to race 2. (S=susceptible, R=resistant)
580	Perc	Fresh weight inoculated plant * 100 / Fresh weight uninoculated plant (>70=resistant).
582	State	Crop development stage halfway heading (1=finished anthesis, 5= 75% ears visible, 9=no tops of ears visible)
584	Stand	Inoculation with strain IPO39-01. Res.stand.=Arina, sus.st.=SVP72005-20-3-1 (1=very resistant, ..., 9= very susceptible)
588	State	1= mainly male flowers, 5= equal number of male and female flowers, 9= almost only female flowers
591	Stand	Score at market stage (3= thick, 5= medium, 7= thin)
593	Stand	Score at market stage (1= absent, 3= weak, 5=medium, 7= strong)
595	State	Score ground color at seed ripe stage (1= white, 2= yellow, 3= green, 4=orange, 5= brown, 99=other)
597	State	Measure at young fruit stage (1= white, 2= black)
599	Stand	Score at physiological ripening (1= absent, 5= medium, 9= very long)
600	Stand	Scores in greenhouse 1= suscept.many large spots >3mm, 5= medium resist.small sp 1-3 mm, 9= resist.few small sp<1mm
602	Stand	1= susceptible (> 75% of plants affected), 5= medium resistant (25-75% affected), 9= resistant (0-25% affected)
605	State	0= no pustules, 1= few pustules, 2= few leaves with pustules, 3= all leaves with pustules
627	Gene	+ = presence of Ml-(AB)
630	Gene	+ = presence of Ml-o
631	State	Fysio ECD 16/3/30. (0= no symptoms, ..., 1= severely affected)
632	Stand	Scores in field 1= suscept.(many large spots >3mm), 5= medium resist.(small sp 1-3 mm), 9= resist.(few small sp<1mm)
635	Perc	50 seeds sown in greenhouse, no treatment.
637	State	Score color at market stage (1= white, 2= yellow, 3= green, 4= white and yellow, 5= white and green, 6= yellow + green)
639	State	At moment of tillering (1= no overlap, 5= leaves touch, 9= complete overlap)
642	Stand	To stem apex, middle of culture (1= very short (<20cm.), 3=short, 5=intermediate(100cm.), 7=tall, 9=very tall (>180cm.))
645	Stand	Score lower surface (1=<20/mm2, 3=20-50, 5=50-100,7=100-200, 9=>200/mm2)
647	cm	Measure base of calyx to tip of fruit at commercial ripeness
649	State	Determine length/width ratio (L/W)  (1= L/W <1 , 3= 1, 5= >1 , 7= 2, 8=3, 9=>3)
651	Stand	(1=circular, no grooves, 3=elliptic, no grooves, 5=few grooves, 7= many grooves, 9= very irregular)
654	State	Determine principle color (1=green,2=milkywhite,3=deepyell,4=firered, 5=scarletred,6=lilacgray,7=purple,8=pu-bl,9=black)
656	Stand	Score at commercial ripeness (3= dull, 5= medium, 7= shiny)
658	Stand	(0= no color, 1= very weak, ...,9=very strong color intensity)
660	Stand	Determine % of total fruit (1=10%, 3=20%, 5=50%, 7=70%, 9=>75%)
661	Stand	Determine number of prickles (0=none, 1=<3 prickles, 3=5pr., 5=10pr., 7=20pr., 9= >30 prickles)
664	State	Score at commercial ripeness (1=uniform, 3=mottled, 5=netted, 7=striped, 9=other)
670	Perc	Mix of pathotypes 1.2.3, 1.3.4 & 1.4.11. Weighted mean of 5 weekly observ. on perc. infected foliage. (<1984)
676	State	Inoculum 600 juveniles. After 7 weeks less then 6 egg masses on roots, then genotype scored resistant. (2=susc,4=resist)
672	Perc	Mix of pathotypes 1.3.4.7.10 & complex fysio P1. Weighted mean of 2 observatons on infected foliage. (1985)
674	Perc	Pathotype 1.2.3.4.5.6.7.10.11. Weighted mean of 5 weekly observ. on perc. infected foliage. (>1987)
668	State	Softrot. Method Austin et al.1988. Strain Eca 86.20 from Brittany. Uninfected geno's retested. (2=susc,4=resist.)
678	State	Pathotype 2 (Giessuebel G1) using Glynne-Lemmerzahl method (Hille 1965). (2=susc, 4=resist.)
680	State	Pathotype 8 (Kohlhaus K2) using Glynne-Lemmerzahl method (Hille 1965). (2=susc, 4=resist.)
683	State	Week 6: cut tubers through inoculation point, assess for active rotting (method Boyd '52) (2=susc, 4=resist.)
682	State	Week 3: assess inoculated tuber halves for active rotting. Test in duplo or triplo. (2=susc, 4=resist.)
686	State	Scions 10-20 plants grafted on PVM infected tomato plants. Week 6 uninfected plants retested. (2=susc, 4=resist)
669	State	Leaves tested on resistance to late blight virulences 1,2,3,4 (method Toxopeus 1954). (2=susc,4=resist.)
707	State	Pa3 rootball test. Chavornay pop. (2=susc, 4=resistant)
718	State	Ro1,2,3,4,5 mixture. (MB-a, C-71 mix, F.520, G.1510 pops.) (2=susc, 4=resistant)
709	State	Pa3 rootball test. Oslo pop. (2=susc, 4=resistant)
711	State	Pa3 rootball test. MBB pop. (2=susc, 4=resistant)
705	State	Pa2 rootball test. Kalle pop. (2=susc, 4=resistant)
712	State	Pa3 rootball test. E-83 mixed pop. (2=susc, 4=resistant)
714	Ratio	Pa2 number of resistant/inoculated genotypes
717	Ratio	Pa2,3 mixture. (number of resistant/inoculated genotypes)
716	State	Pa2,3 mixture. (P.2-22, Coll 1095, D.234, D.236, & Rookmaker, Coll 1077, Coll 1112, VP 75-884-4 pops.) (2=susc, 4=res)
721	Perc	Starch content polarimetric determined on 12 plants. Method modified from Ewers 1908.
725	State	(1=yellow, 2=white, 3= blue)
726	Perc	Standardized ISTA method, using 150 seeds.
727	State	Taste at comm. ripe stage(0=no bitterness, 1=very weak, 3=weak, 5=intermediate, 7=strong, 9=very strongly bitter)
729	State	Browning of comm.ripe fruits, 30 min. after cutting(0=no browning,3=light, 5=intermediate, 7=dark, 9=very dark browning)
735	State	(1=straight, 2=curved)
737	State	(1=yellow, 2=white, 3=darkbrown, 4=black, 5=brown, 6=light green, 7=light brown)
740	Num	average of five fresh pods
742	State	(0=highly resistant,.., 5=highly susceptible) inoculated in the greenhouse
744	State	(1=awnless, 3=scurs on tip only, 5=awns on tip only, 7=upper 1/2-3/4 awned/scurred, 9=awned)
747	micg	total amount in shoot (average of 3 plants)
749	micmol	µmol/100 g dry weight in seedlings
751	Perc	isolate 7V: % of plants showing pathogen sporulation
754	micmol	µmol/g dry matter
756	State	(1=high erucic acid (EA)-high glucosinolate (GS), 2=low EA-high GS, 3=high EA-low GS, 4=low EA-low GS)
759	State	leaf damage (1 = very low, 9 = very significant damage)
762	State	1=no symptoms,.., 4=substantial swelling of the main root and large galls on all lateral roots
764	Perc	isolate K92-16: 0%=completely resistant, 100%=completely susceptible
767	State	1=yellowgr, 2=l.green, 3=green, 4=dark green, 5=purple green, 6=purple, 7=other
769	State	2=acute, 4=intermediate, 6=rounded, 8=broadly rounded
771	State	1=light green, 2=green, 3=dark green 4=red or purple green, 5=red or purple, 6=other
775	State	1=white, 2=cream, 3=yellow, 4=yellow-gr., 5=green, 6=pink, 7=green-red, 8=purple, 9=red, 10=orange, 11= other
777	State	nat.inf.:1=0-0.75%, 2=0.75-2, 3=2-4, 4=4-7, 5=7-13, 6=13-21, 7=21-36, 8=36-60, 9=60-100avg. of 4 scor. times, 3 repl.
781	State	See: IBPGR Descriptors For Brassica and Raphanus, 1990, 4.2.2
782	State	(1=pinkish,2=light green,3=creamy,4=pinkish cream,5=light pinkish,6=brownish,7=pinkish brown,8=brownish cream,9=green)
785	Num	Days after sowing when 50% of plants have first harvestable fruit(s)
800	State	See: IPGRI Descriptors for Melon (Cucumis melo L.), 2003, 7.7.15
803	State	1 White 2 Yellow 3 Cream 4 Pale green 5 Green 6 Pale orange 7 Orange (yellow-red) 8 Salmon (pink-red) 99 Other
797	State	1 Globular(round)2 Flattened 3 Oblate 4 Elliptical 5 Pyriform(pear) 6 Ovate 7 Acorn 8 Elongate 9 Scallop(shell) 99 Other
807	State	Observed on main stem at first fruit set (1 = monoecious, 2 = hermafroditic, 3 = androecious, 4 = gynoecious, 99=other)
809	Perc	Perc. in straw, determined by ATO: greenscutching method 1. See: Oever, 1993. Industrial Crops and Products 18, 231-243
811	Perc	Perc. in straw determined by ATO: warm water retting method. See: Oever, 1993. Industrial Crops and Products 18, 231-243
815	Perc	Peronospora parasitica Portuguese isolate 501, % sporulating plants
817	Perc	Albugo candida UK isolate 001, % sporulating plants
819	Stand	Res. to B. brassicae, 1=no damage, 2= slight, 3=moderate, 4=moderate but heavy investation, 5=severe, most plants dead,
822	Perc	Percentage of partially resistant plants to mixture of 10 German clubroot race populations
823	State	fysio 17 R=resistant (necrosis, no symptoms); MR:medium res(nec and sporulation); S:susceptible (spor); m:mixed reaction
827	State	T=low to medium tolerance, S=completely susceptible
829	State	Resistance to B. lactucae race Bl16 formerly NL16 (R=resistant. S=susceptible. H=heterogeneous)
831	Perc	Resistance to B. lactucae race Bl16 (NL16), % sporulation (100=completely susceptible, 0=completely resistant)
833	Perc	Resistance to B. lactucae race SR2 (Straubing, BY,1996),% sporulation (100=completely susceptible, 0=comp resistant)
835	Perc	Resistance to B. lactucae race DEG2 (Deggendorf, BY,1996),% sporulation (100=completely susceptible, 0=comp resistant)
837	State	3: plants not or slightly damaged; 5: plants partly damaged but recovering; 7: plants totally damaged, some plants dead
840	State	of mature leaf: 1=yellowgr, 2=l.green, 3=green, 4=dark green, 5=purple green, 6=purple, 7=other
843	State	Resistance to B. lactucae race Bl 1 (NL1, EU-A 11/58/00/00), scale: 1= resistant - 9= susceptible, C= conflicting data
845	State	Resistance to B. lactucae race Bl 3 (NL3, EU-A 56/59/01/00), scale: 1= resistant - 9= susceptible, C= conflicting data
847	State	Resistance to B. lactucae race Bl 5 (NL5, EU-A 05/27/01/00), scale: 1= resistant - 9= susceptible, C= conflicting data
849	State	Resistance to B. lactucae race Bl 7 (NL7, EU-A 47/59/00/00), scale: 1= resistant - 9= susceptible, C= conflicting data
851	State	Resistance to B. lactucae race Bl 11 (NL11, EU-A 57/59/03/00), scale: 1= resistant - 9= susceptible, C= conflicting data
853	State	Resistance to B. lactucae race Bl 13 (NL13, EU-A 21/63/00/00), scale: 1= resistant - 9= susceptible, C= conflicting data
855	State	Resistance to B. lactucae race Bl 15 (NL15, EU-A 31/31/00/00), scale: 1= resistant - 9= susceptible, C= conflicting data
865	State	Resistance to B. lactucae race Bl 25 (EU-A 59/31/42/00), scale: 1= resistant - 9= susceptible, C= conflicting data
867	State	Resistance to B. lactucae isolate SF1 (EU-A 23/59/35/00), scale: 1= resistant - 9= susceptible, C= conflicting data
869	State	Resistance to B. lactucae isolate IL4 (EU-A 27/63/03/01), scale: 1= resistant - 9= susceptible, C= conflicting data
871	State	Resistance to B. lactucae isolate LDM0313 (BL25. sextet code 59/31/42/00). scale: 1 = resistant - 9 = susceptible
873	State	observed when 50% of the plants bear ripe fruits. 3=erect, 5=intermediate, 7=prostrate, 99=other
875	State	1=1, 2=2, 3=3 or more, 4= many flowers in bunches but each in individual axil, 99=Other(specify)
877	State	1=White, 2=Yellow, 3=Green, 4=Orange, 5=Purple, 6=Deep purple, 99=Other (specify the fruit colour at intermediate stage)
879	State	1=Elongate, 2=Almost round, 3=Triangular, 4=Campanulate, 5=Blocky (Oblong), 99=Other (specify the fruit shape)
883	State	1=not incised, 2=pinnatilobed (up to 1/3), 3=pinnatifid (1/2), 4=pinnatipart (2/3), 5=pinnatisect (more than 2/3)
885	State	1 White, 2 Intermediate, 3 Green
886	State	1=majority with anthocyanin, 9=majority without anthocyanin
889	State	0=entire, 1-crenate, 2=dentate, 3=serrate, 4=undulate, 5=doubly dentate, 6=other
892	State	1=narrow acute, 2=acute, 3=obtuse, 4=rounded, 5=flat
891	State	1=trans.elliptic,2=circular,3=ellip.,4=obovate,5=broad rectangular,6=rect.,7=narrow rect.,8=nar.obtriangular,9=iciclical
898	Stand	0 = no damage, 1 = low damage, 5 = medium damage, 9 = high damage
900	State	1 = resistant, 2 = susceptible
901	State	1 = resistant, 2 = susceptible, 3 = tolerant, 4 = segregating for 2 and 3
903	State	f. sp. Lycopersici, race 2 (R = resistant, IR = intermediately resistant, S = susceptible)
906	State	minimum root rot index (RRI). 0=resistant, 5=susceptible
909	Num	 count days after 1 May when 50% of florets have opened on 3 flowers
911	Perc	Standaard ISTA method, using 100 seeds, pretreatment 3 days 5°C , TPL 20°C. Scored following 3rd edition ISTA Handbook on Seedling Evaluation
912	Perc	Standaard ISTA method, using 200 seeds, pretreatment 3 days 5°C, TPL 20°C. Scored following 3rd edition ISTA Handbook on Seedling Evaluation
913	Perc	Standaard ISTA method, using 100 seeds, pretreatment 3 days 10°C, BP 20°C, 8 h light
914	Perc	Standaard ISTA method, using 200 seeds, pretreatment 3 days 10°C, BP 20°C, 8 h light
915	Perc	Standaard ISTA method, using 100 seeds, pretreatment 48 hours soaking with 1000 ppm GA3 in the dark , TPL 20°C
916	Perc	Standaard ISTA method, using 200 seeds, pretreatment 48 hours soaking with 1000 ppm GA3 in the dark, TPL 20°C
917	Perc	Standaard ISTA method using 100 seeds, cutting not germinating seeds, SL 20°C
918	Perc	Standaard ISTA method using 200 seeds, cutting not germinating seeds, SL 20°C
919	Perc	Standaard ISTA method using 100 seeds, counting not germinating seeds with a hard seedcoat as dormant seeds, TP 20°C
920	Perc	Standaard ISTA method using 200 seeds, counting not germinating seeds with a hard seedcoat as dormant seeds, TP 20°C
921	Perc	Standaard ISTA method, using 200 seeds, without pretreatment 3 days 5°C, TPL 20°C
922	Perc	Standaard ISTA method, using 200 seeds, KNO3, TPL 20-30°C
923	Perc	Standaard ISTA method, using 200 seeds, SL 20-30°C
924	Perc	Standaard ISTA method, using 200 seeds, BPL 15°C
925	Perc	Standaard ISTA method, using 200 seeds, PPL 15°C
926	Perc	Standaard ISTA method, using 200 seeds BPL 20°C
927	Perc	Standaard ISTA method, using 200 seeds, TPL 20-30°C
928	Perc	percentage of flowers that produce fruits
929	Num	Days from transplanting
930	State	In cotyl stage, mean severity. 0=resistent,..,4=very susceptible
931	State	Proportion of infected kernals at soft dough stage. 0=no disease,..,5=maximum disease
932	State	R=resistant, MR=moderately resistant, MS=moderately susceptible, S=susceptible, VR no symptoms observed
933	Perc	% head infection after artificial inoculation
934	State	1=entire; 2=lobed
935	State	1=white; 2=yellow; 3=green; 4=pink; 5=red; 6=purple; 7=bronze; 8=brown; 9=black
936	State	See IPGRI descriptors Brassica and Raphanus 1990 4.2.94
937	State	See UPOV guidelines turnip 2001, 24
938	Stand	3= low (flowering spread over several weeks); 5= intermediate; 7=high (all plants flowering within a few days)
939	State	1=pasture, 2=fodder, 3=intermediate
940	cm	Length (cm) of longest stem, inflorescence included
941	Stand	1=little spreading; 7=major spreading
942	Stand	In second year at time of inflorescence emergence. 1=very short, 9=very long
943	Stand	In second year at time of inflorescence emergence. 1=very narrow, 9=very broad
944	Num	Count days after 1 April when >50% plants show inflorescence emergence, 999=not flowering during experiment
537	State	1= white, 2=light green, 3=green, 4=purple, 5=red, 6=other
945	State	1=round, 2=elliptic, 3=obovate, 4=spatulate, 5=ovate, 6=lanceolate, 7=oblong
946	State	1=nearly entire, 2=slightly waved, 3=deep sinuate, 4=pinnatipartite
947	State	1=light green, 2=green, 3=dark green, 4=violet
948	State	1=white, 2=creamy, 3=sulphureous, 4=yellow
949	State	0=strong,..,9=weak
950	mg/g	Mean nitrate content of two samples per accession, determined by spectrophotometry of dried material. Content is expressed in mg nitrate per g dry matter.
951	µg/kg	-
952	mg/kg	-
953	Num	Time period (days) until marketable maturity
954	Perc	Standaard ISTA method, using 200 seeds, pretreatment 7 days 10°C, KNO3, TPL 20-30°C, 8h light
955	Perc	Standaard ISTA method, using 200 seeds, pretreatment 7 days 10°C, KNO3, TPL 10-30°C, 8h light
956	Perc	Standaard ISTA method, using 200 seeds, pretreatment 2 days 10°C, KNO3, TPL 20-30°C, 8h light
957	Perc	Standaard ISTA method, using 200 seeds, pretreatment 2 days 10°C, KNO3, TPL 10-30°C, 8h light
958	Perc	Standaard ISTA method, using 200 seeds, pretreatment 3 days 10°C, TPL 20-30°C, 8h light
959	Perc	Standaard ISTA method, using 150 seeds, cutting not germinating seeds, SL 20°C
960	Perc	Standaard ISTA method, using 100 seeds, SL 20-30°C
961	Perc	Standaard ISTA method, using 100 seeds, KNO3 0.2 %, TPL 20-30°C
962	Perc	Standaard ISTA method, using 200 seeds, pretreatment 3 days 5C, TPL 20°C. Scored following 3rd edition ISTA Handbook on Seedling Evaluation with amendment of 2009
963	State	Score 25, 50, 75,100, 125 and150. Where susceptible control cultivar Rami = 100
965	cm	Distance from the end of silique to the tip in cm
966	State	leaf without lobes. 1=round, 2= oval, 3= elongate
967	Num	not vernalized plants: days between sowing and first open flower
968	Num	Vernalized plants: days between sowing and first open flower
969	State	on abaxial side; 0= no hairs, 1= few hairs; 2= many hairs
970	State	on adaxial side; 0= no hairs, 1= few hairs; 2= many hairs
971	cm	Distance from the tip lamina to the fist lobe in cm
972	cm	excluding lobes, at the widest point in cm
973	cm	incl. lobes, at widest point
974	cm2	the whole surface of leaf, incl. lobes in cm2
975	State	1= entire, 2=sinuate. 3=lyrate, 4=lacerate (See IPGRI descriptors Brassica and Raphanus 1990 4.2.18)
976	State	1=non serrated; 2=slightly serrated; 3=intermediate serrated; 4=very serrated
977	cm	From base of petiole to tip of lamina in cm
978	Num	Number of lobes after lamina blade
979	Num	Number of lobelets formed after the lobes
980	mg/g	Of leaf, mg/g dry mass See Zhao 2007
981	State	1=smooth, 2= wrinkled, 3= intermediate
982	cm	measure at widest point
983	Stand	3=narrow, 5=intermediate,7=enlarged (See IPGRI descriptors Brassica and Raphanus 1990 4.2.27)
984	cm	Measure where blade intercepts with petiole (See IPGRI descriptors Brassica and Raphanus 1990 4.2.28
985	cm	Measure where blade intercepts with petiole (See IPGRI descriptors Brassica and Raphanus 1990 4.2.29
986	State	1=Gray- black; 2=Purple-gray-black; 3=Black-gray-purple; 4=Red-purple; 5=Red-purple-yellow; 6=Yellow red purple;7 = yellow
987	mg/g	Of seed, mg/g dry mass See Zhao 2007
988	cm	Distance from silique base to the base of beak in cm
989	State	1=smooth, 2=undulating, 3=constricted between seeds
990	cm	of mature plants
991	µmol/g	of seed, µmol/g dry matter
992	Perc	Standaard ISTA method using 200 seeds, TPL 20
993	Perc	Standaard ISTA method using 200 seeds, pretreatment 0,05% GA3, TPL 15°C
994	Perc	Unheated greenhouse test in summer, using 200 seeds, counting healthy seedlings
995	Perc	Standaard ISTA method using 50 seeds, pretreatment 3 days 10°C, BP 20°C, 8 h light
996	Perc	Standaard ISTA method using 150 seeds, pretreatment 3 days 10°C, BP 20°C, 8 h light
997	Perc	Standaard ISTA method using 50 seeds, cutting not germinating seeds, SL 20°C
998	Perc	Seeds germinated in petridish, using 50 seeds, pretreatment 48 hours soaking with 1000 ppm GA3 in the dark, counting healthy seedlings
999	Perc	Seeds germinated in petridish, using 50 seeds, counting healthy seedlings
1000	State	1=0°; 2=0-22.5°; 3=22.5°; 4=22.5-45°; 5=45°; 6:45-67.5°; 7=67.5°
1001		of leaves using SPAD meter
1002	Perc	Unheated greenhouse test in summer, using 100 seeds, pretreatment 48 hours soaking with 1000 ppm GA3 in the dark, counting healthy seedlings
1003	Stand	Pa3 nematode rinse test. 10 genotypes/acc in duplo. Inoculum 15 cysts E400 /plant. Weighted mean (1=susc., 9=resistant)
1004	Stand	Pa3 nematode closed container test. Inoculum E400 cysts. (1=susc., 9=resistant)
1006	State	Resistance to Nasonovia ribisnigri (pathotype Nr:0), scale: 1= resistant - 9= susceptible, C= conflicting data
1007	Num	Resistance to B. lactucae race Bl:16, number of plants showing sporulation with the total number of plants between brackets
1008	Num	Resistance to B. lactucae race Bl:18, number of plants showing sporulation with the total number of plants between brackets
1009	Num	Resistance to B. lactucae race Bl:20, number of plants showing sporulation with the total number of plants between brackets
1010	Num	Resistance to B. lactucae race Bl:21, number of plants showing sporulation with the total number of plants between brackets
1011	Num	Resistance to B. lactucae race Bl:22, number of plants showing sporulation with the total number of plants between brackets
1012	Num	Resistance to B. lactucae race Bl:23, number of plants showing sporulation with the total number of plants between brackets
1013	Num	Resistance to B. lactucae race Bl:24, number of plants showing sporulation with the total number of plants between brackets
1014	Num	Resistance to B. lactucae race Bl:25, number of plants showing sporulation with the total number of plants between brackets
730	Perc	Germination test at CGN using 50 seeds, and cut the seed top
731	State	(1=green, 2=light green, 3=pinkish)
732	State	(1=erect, 9=serrate)
733	State	(1=tall, 2=dwarf, 3=very dwarf, 4=intermediate)
734	State	(3=hard, 4=soft)
736	State	(1=wrinkled, 2=round, 3=oval)
738	mm	Measured at harvest for vegetable use, average of five fresh pods
739	g	average of five
741	Num	average of five dry pods
743	State	(0=highly resistant,.., 5=highly susceptible) natural infection in the field
745	micg	concentration (mic.gram/gram shoot, average of 3 plants)
746	micg	concentration (mic.gram/gram root, average of 3 plants)
748	micg	total amount in root (average of 3 plants)
750	micmol	µmol/100 g dry weight in mature plants
752	Perc	isolate Acem2: % of plants showing pathogen sporulation
753	Perc	% dry matter
755	Perc	% oil dry matter
757	Perc	% of total fatty acids
758	Perc	% feeding damage (average of 6 recordings)
760	Num	number of infested stems per 10 sampled plants
761	Num	mean no. of larvae / plant (of 10 sampled plants)
763	Perc	isolate Ms6: 0%=completely resistant, 100%=completely susceptible
765	State	relative plant weight reduction: 1=<20%, 2=21-40%, 3=>41%
766	State	relative curd weight reduction: 1=<20%, 2=21-40%, 3=>41%
768	State	1=narrow ovate, 2=ovate, 3=broad ovate
770	Num	stem length/stem width
772	State	1=concave, 2=plane, 3=convex
773	Num	days after sowing when 50% of kohlrabis reach 7 cm diameter
774	State	1=completely uniform, 2=not uniform, 3=every plant different
776	State	when 50% plants with at least 10% flowers: 3=early, 5=medium, 7=late
778	g	per plot of 1 m2
779	State	See: IBPGR Descriptors For Brassica and Raphanus, 1990, 4.2.82
780	State	See: IBPGR Descriptors For Brassica and Raphanus, 1990, 4.2.73
783	State	(1 = no attack, 2 = < 10% leaf area damage, 3 = 10-25% l.a.d., 4 = 25-50% l.a.d., 5 = > 50% l.a.d.)
784	Num	Days after sowing when 50% of plants have opened the first flower(s)
786	State	0= no symptoms visible, 1= 1-5%, 2=5-25%, 3=25-50%, 4=50-100% leaf area infected
787	State	0= no symptoms, 1= symptoms
788	State	1 determinate, 2 semi-determinate, 3 indeterminate
789	State	1 dwarf, 2 potato leaf type, 3 standard, 4 other
790	State	1 generally simple, 2 generally two branches, 3 three or more branches
793	State	1 green, 2 yellow, 3 orange, 4 pink, 5 red, 6 other
794	Stand	1 very weak, 3 weak, 5 intermediate, 7 strong
795	State	0 absent, 1 present
791	State	0 absent(unif. Ripe.), 1present (fr.shoulder or stripes-upper part of fr., around calyx- d.green, pistilar area l.green
792	State	1flattened(oblate), 2sl. fl., 3rounded, 4high rou., 5heart shape, 6cyl.(oblong), 7pyriform, 8ellipsoid (plum sh.), 9oth.
796	State	1 Monoecious 2 Andromonoecious 3 Gynoecious 4 Male sterile 5 Female sterile
798	State	1 White 2 Light-yellow 3 Cream 4 Pale green 5 Green 6 Dark green 7 Blackish-green 8 Orange 9 Brown 10 Grey 99 Other
799	State	1 White 2 Light-yellow 3 Cream 4 Pale green 5 Green 6 Dark green 7 Blackish-green 8 Orange 9 Brown 10 Grey 99 Other
801	State	See: IPGRI Descriptors for Melon (Cucumis melo L.), 2003, 7.7.16
802	Stand	0 Absent 3 Superficial 5 Intermediate 7 Deep
804	State	1 White 2 Yellow-white 3 Cream-yellow 4 Yellow 5 Light brown or tan 6 Brown 99 Other
805	Perc	Germination test at CGN using 25 seeds, and cut the seed top
806	State	Scored at table use maturity (0 = absent spines, 1 = black, 2 = brown, 3 = white, 99=other)
808	Perc	Percentage measured with a brix meter
810	Perc	Perc. in straw, determined by CGN: greenscutching method 2. See: Oever, 1993. Industrial Crops and Products 18, 231-243
812	State	1 very small (3cm), 2 small (3-5cm), 3 intermediate (5.1-8 cm), 4 large (8.1-10 cm), 5 very large (>10cm)
813	Perc	Peronospora parasitica UK isolate 005, % sporulating plants
814	Perc	Peronospora parasitica UK isolate 006, % sporulating plants
816	Perc	Peronospora parasitica Portuguese isolate 502, % sporulating plants
818	Perc	Albugo candida Portuguese isolate 501, % sporulating plants
820	Stand	0=none; 1=slight; 2=intense; 3=segregating
